Date of obs,Date of pub,Period of obs,Brief decsription,Content Type,Strategies,Calls to action,Engagement metrics,Like ,Heart,Haha,Angry,Surprised,Tears,Comments (No.),,Page/Account/Group,,share,views,Hug,Thinking
2-Apr-20,31-Mar-20,10 am to 5 pm,twitter link of saying that all nizamuddin involved people should be declared traitors,C6,S2,A1,People demanding same,5.5 k,105,19,3,12,1,487,,Updesh Rana,,210,,,
2-Apr-20,31-Mar-20,10 am to 5 pm,post saying maintain distance from maulanas,C4,S3,-,people agreeing and demanding action against them,40 k,2 k,1.2 k,15,85,4,4.3 k,,Updesh Rana,,11 k,,,
2-Apr-20,1-Apr-20,10 am to 5 pm,post saying nizamuddin people would have faced different reaction if they were in UP,C4,S3,-,people saying yogi should be CM of delhi,30 k,905,4 k,12,53,6,3.3 k,,Updesh Rana,,7.6 k,,,
2-Apr-20,1-Apr-20,10 am to 5 pm,facebook live video wishing ramnavami and asking people to light up 11 diyas,C3,-,-,people saying jai shree ram,12 k,1.2 k,12,8,26,3,2.9 k,,Updesh Rana,,1.2 k,56 k,,
2-Apr-20,2-Apr-20,10 am to 5 pm,post wishing ramnavami and again asking people to light up 11 diyas,C4,-,-,people saying jai shree ram,,23 k,1.1 k,9,18,1,3.3 k,,Updesh Rana,,562,,,
2-Apr-20,1-Apr-20,10 am to 5 pm,Video saying how nizamuddin is responsible for corona in India and its an Islamic conspiracy,C3,S2,-,ajeet bharti himself using abusive language for Muslims in comment,1.3 k,42,1,31,0,9,199,,Ajeet Bharti,,599,102 k,,
2-Apr-20,1-Apr-20,10 am to 5 pm,Live video of Rajeev Bramarshi announcing cancellation of Ram Navami Yatra,C3,-,-,people just recieving information,343,58,1,0,1,0,184,,Hindu Putra,,118,3.6 k,,
2-Apr-20,2-Apr-20,10 am to 5 pm,Ram Navami wishes but an old video with swords ,C3,-,-,people wishing back,1 k,102,1,0,2,0,119,,Hindu Putra,,129,,,
2-Apr-20,2-Apr-20,10 am to 5 pm,post saying in India there is one species which do not understand anything,C4,S3,-,people in comments saying it is Muslims,24,1,0,0,0,0,16,,Brahman Samaj Seva Samiti,,3,,,
2-Apr-20,31-Mar-20,10 am to 5 pm,post calling nizamuddin incident a conspiracy against Hindus,C4,S2,A4,people agreeing to it,84,1,0,0,0,0,22,,Brahman Samaj Seva Samiti,,6,,,
2-Apr-20,2-Apr-20,10 am to 5 pm,"post saying even though it is navaratras, Hindus did not crowd up",C4,-,-,no comments,7,0,0,0,0,0,0,,Brahman Samaj Seva Samiti,,0,,,
2-Apr-20,2-Apr-20,10 am to 5 pm,post with picture of muslim praying in mosque and calling it commu,C4,S2,A4,one comment calling traitors,2,0,0,2,0,0,1,,Brahman Samaj Seva Samiti,,1,,,
2-Apr-20,2-Apr-20,10 am to 5 pm,saying lions do not produce 10 children and saying it is for a 'specific' community,C4,S3,,no comments,6,0,0,0,0,0,0,,Brahman Samaj Seva Samiti,,0,,,
,,,,,,,,,,,,,,,,,,,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,Post about how ramnavami was celebrated,C4,-,-,just jai shree ram comments,387,106,0,0,3,0,108,,Aryan Singh,,4,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,Informing about live video to take place next day,C4,-,-,he himself commenting that time has come to show 'them' their place,253,42,8,1,2,1,65,,Aryan Singh,,20,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,Live video blaming Muslims for coronavirus,C3,S2,"A1, A4",people agreeing and demanding action against them,1 k ,429,7,6,5,4,1.6 k,,Aryan Singh,,1.3 k,21 k,,
3-Apr-20,2-Apr-20,10 am to 5 pm,"Post saying people who spat, should have been shot",C4,S1,A4,no comments,5,0,0,0,0,0,0,,Hindu Putra - G,,1,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,post making fun with homophobic slur of muslim prayer,C3,S3,-,no comments,5,0,4,0,0,0,0,,Hindu Putra - G,,0,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,pictures of news clips about bad behavior of tabligi zamat ,C4,S2,A1,comments asking for violent action,12,0,0,14,0,0,4,,Hindu Putra - G,,4,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,video saying even police is not safe from muslims,C3,S2,A1,just a comment asking Hindus to wake up,6,0,0,3,0,0,1,,Hindu Putra - G,,1,,,
3-Apr-20,2-Apr,10 am to 5 pm,video wishing ramnavami,C3,-,-,people just saying jai shree ram,468,72,0,1,1,1,42,,Hindu Putra,,59,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,tiktok video of wishing ramnavami,C3,-,-,people just saying jai shree ram,197,24,0,0,2,0,15,,Hindu Putra,,21,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,video wishing ramnavami,C3,-,-,people just saying jai shree ram,91,18,0,0,0,0,27,,Rajeev Brahmarshi,,2,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,Pictures of police beating up a pujari,C4,S2?,-,no comments,9,0,0,2,0,5,0,,Rajeev Brahmarshi,,0,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,common religous post,C4,-,-,people replying with greetings,70,12,0,0,0,0,0,,Rajeev Brahmarshi,,0,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,post telling about social work for coronavirus,C4,-,-,no comments,49,3,0,0,0,0,0,,Rajeev Brahmarshi,,0,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,post for wishing ramnavami,C4,-,-,no comments,2,0,0,0,0,0,0,,Karni Sena,,0,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,post for wishing ramnavami,C4,-,-,no comments,2,0,0,0,0,0,0,,Karni Sena,,0,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,post of news article about coronavirus and government is working well,C1,-,-,no comments,2,0,0,0,0,0,0,,Karni Sena,,0,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,post on how temples have had a positive contribution during coronavirus crisis,C1,-,-,people commenting jai hind,367,7,0,0,0,0,0,,Ajeet Bharti,,0,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,post on how Muslims have attacked medical personnels ,C3,S2,A4,people asking them to be gunned down,1.2 k,39,0,24,2,11,121,,Ajeet Bharti,,462,43 k,,
3-Apr-20,2-Apr-20,10 am to 5 pm,post on how Muslims have attacked medical personnels ,,S5,A1,people asking for violent action,483,0,2,205,0,32,123,,Ajeet Bharti,,341,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,how muslism have spread virus,C1,S2,-,people calling it conspiracy,238,0,0,33,0,10,8,,Ajeet Bharti,,58,,,
3-Apr-20,2-Apr-20,10 am to 5 pm,ram navami wishing,C3,-,-,people greeting back,26 k,2.3 k,6,18,58,0,5.2 k,,Updesh Rana,,961,102 k,,
3-Apr-20,2-Apr-20,10 am to 5 pm,Ramnavami wish,C4,-,-,people greeting back,34 k,2.3 k,7,1,68,1,6.5 k,,Updesh Rana,,862,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,twitter link of priest beaten up by muslim police officer,C6,S2,-,people deamding suspension of said police office,9.1 k ,75,24,2.5 k,9,489,2 k,,Updesh Rana,,3.3 k,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,post saying nizamuddin involved people should be shot down,C4,S1,A4,just one comment saying yes,10,0,0,0,0,0,1,,Brahman Samaj Seva Samiti,,2,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,post defending building temples,C4,-,-,just one person saying yes,3,0,0,0,0,0,2,,Brahman Samaj Seva Samiti,,0,,,
3-Apr-20, 3 april 2020,10 am to 5 pm,muslims have behaved badly with medical officials so they should not be treated,C4,S5,A3,people saying yes,7,0,0,0,0,0,6,,Brahman Samaj Seva Samiti,,2,,,
3-Apr-20,3-Apr-20,10 am to 5 pm,video showing a man spitting on police,C3,S2?,A4,no comments,2,0,0,0,0,0,0,,Brahman Samaj Seva Samiti,,0,,,
,,,,,,,,,,,,,,,,,,,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,post in context of coronavirus that India lost the battle because of cheating by certain people,C4,S2,-,no comments,5,0,0,0,0,0,0,,Brahman Samaj Seva Samiti,,2,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,post saying paramilliatray is posted in delhi to deal with tabligi,C4,S3,-,no comments,5,0,0,0,0,0,0,,Brahman Samaj Seva Samiti,,0,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,video of pushpendra kulshreshta about muslims,C3,S2,-,no comments,2,0,0,0,0,0,0,,Brahman Samaj Seva Samiti,,7,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,video demanding action on tabligi,C3,S2,- ,just a comment saying correct,6,1,0,0,0,0,1,,Brahman Samaj Seva Samiti,,9,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,post saying a muslim policeman is caught trying to flee tabligi accused people,C4,S2,-,no comments,6,0,0,2,0,1,0,,Brahman Samaj Seva Samiti,,0,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,sharing of ajeet bharti video,C3,S3,-,someone calling Ravish a traitor,8,0,4,0,0,0,2,,Brahman Samaj Seva Samiti,,1,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,"video showing UP minister saying the day Hindu wakes up, these people will not be able to live",C3,S2,A1,just a comment saying Yogi government is great,5,0,0,0,0,0,2,,Brahman Samaj Seva Samiti,,0,,,
4-Apr-20,4-Apr-20,10 am to 5 pm,a post asking who will get more likes,C4,S5,-,people saying om etc,15,0,0,0,0,0,11,,Brahman Samaj Seva Samiti,,2,,,
