Date of obs,Date of pub,Period of obs,Brief decsription,Content Type,Strategies,Calls to action,Engagement metrics,Like ,Heart,Haha,Angry,Surprised,Tears,Comments (No.),,Page/Account/Group,,share,views,Hug,Thinking
8-May-20,8-May-20,10 am to 5 pm,Post saying Shahnawaz Hussain said to Pak reporter that after ramzan they will have to apply visa in Gilgit Baltistan,C4,S2,-,one comment saying jai hind,12,1,0,0,0,0,1,,Hindu Putra - G,,0,,0,0
8-May-20,8-May-20,10 am to 5 pm,a video of Rss workers distributing ration to Muslims,C3 ,-,-,no comments,0,0,0,0,0,0,0,,Hindu Putra - G,,1,,0,0
8-May-20,8-May-20,10 am to 5 pm,Post supporting sudhir chaudhary,C4,S5,-,people supporting Sudhir Chaudhary,47,5,0,0,0,0,4,,Hindu Putra - G,,1,,0,0
8-May-20,8-May-20,10 am to 5 pm,Post supporting Nagesh Samrat,C4,-,-,people supporting him,136,5,0,0,0,0,2,,Hindu Putra - G,,0,,0,3
8-May-20,8-May-20,10 am to 5 pm,picture of coffin of recently killed army men,C4,-,-,people writing jai hind,214,9,0,0,0,38,25,,Hindu Putra - G,,0,,0,1
8-May-20,8-May-20,10 am to 5 pm,Post about a death of police woman because of corona,C4,-,-,people paying condolence,346,7,0,0,0,32,23,,Brahman Samaj Seva Samiti,,7,,0,1
8-May-20,7-May-20,10 am to 5 pm,Post saying brahmans should speak less in english,C4,-,-,people agreeing,1 k,46,0,0,1,1,198,,Brahman Samaj Seva Samiti,,59,,0,4
8-May-20,7-May-20,10 am to 5 pm,Post urging people to say jai parshuram,C4,-,-,people writing jai parshuram,1.6 k,67,0,0,2,0,322,,Brahman Samaj Seva Samiti,,23,,0,8
8-May-20,8-May-20,10 am to 5 pm,Post saying brahmans need to unite,C4,-,-,people saying yes,25,2,0,0,0,0,4,,Brahman Samaj Seva Samiti,,0,,0,0
,,,,,,,,,,,,,,,,,,,,,
11-May-20,8-May-20,10 am to 5 pm,Post about the death of riaz Naiko and blaming media for showing him in positive light,C4,S1,-,one comment calling media dogs,13,0,0,2,0,0,1,,Nitin Gupta,,14,,0,0
11-May-20,9-May-20,10 am to 5 pm,post saying muslims hold the guiniess world records of most terrorists,C4,"S1,S2",-,no comments,1,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
11-May-20,9-May-20,10 am to 5 pm,video of people firing guns around Pratap's statue as show of power,C3 ,S4,-,no comments,14,1,0,0,0,0,0,,Nitin Gupta,,1,,0,0
11-May-20,9-May-20,10 am to 5 pm,Post against a religious preacher who was saying we should respect Muslim god as well,C3 ,S1,-,one comment calling her whore,3,0,0,0,0,0,1,,Nitin Gupta,,1,,0,0
11-May-20,10-May-20,10 am to 5 pm,Post blaming women and parents for degradation of society,C5,"S1,S2,S4",-,"two comments, one saying women get trapped in love jihad",19,1,0,0,0,0,2,,Nitin Gupta,,2,,0,0
11-May-20,10-May-20,10 am to 5 pm,video of school children indulged in sexual activity and blaming women for it,C3 ,S2,-,no comments,0,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
11-May-20,10-May-20,10 am to 5 pm,Zee news clip of supporting Sudhir Chaudhary,C3 ,-,-,no comments,1,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
11-May-20,10-May-20,10 am to 5 pm,Post saying we have been divided by wrong information of foucsing on caste of people like pratap and gobind singh,C5,S2,-,no comments,16,2,0,0,0,0,0,,Nitin Gupta,,3,,0,0
11-May-20,10-May-20,10 am to 5 pm,picutre of modern adaption of mahabrat and calling it against indian culture,C4,"S1,S2",A2,one comment calling ekta kapoor prostitute,5,0,0,1,0,1,1,,Nitin Gupta,,0,,0,0
11-May-20,10-May-20,10 am to 5 pm,Post saying our history books do not tell the true story of Maharana Pratap,C5,S2,-,no comments,2,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
11-May-20,10-May-20,10 am to 5 pm,a video of a girl using curse words and post calling her modern prostitute,C3 ,S1,-,no comments,2,0,0,1,0,0,0,,Nitin Gupta,,0,,0,0
11-May-20,11-May-20,10 am to 5 pm,post saying how left liberal manipulated social media in its initial stage,C5,"S2,S3",-,no comments,3,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
11-May-20,9-May-20,10 am to 5 pm,Post about Maharana Pratap,C4,S4,-,people paying respect to Pratap,2.9 k,318,2,0,5,1,561,,Karni Sena,,231,,0,9
11-May-20,10-May-20,10 am to 5 pm,Mothers day greetings,C4,-,-,people greeting back,173,16,0,0,0,0,17,,Karni Sena,,12,,0,0
11-May-20,11-May-20,10 am to 5 pm,Post about social work ,C4,-,-,no comments,20,1,0,0,0,0,0,,Karni Sena,,1,,0,0
11-May-20,8-May-20,10 am to 5 pm,Post about economic transparency of the organization,C5,S4,-,people praising him,496,108,0,0,3,0,184,,Aryan Singh,,1,,0,20
11-May-20,8-May-20,10 am to 5 pm,Post thanking people for wishing him on his birthday,C4,-,-,people wishing him,1.2 k,217,0,0,11,0,323,,Aryan Singh,,3,,0,28
11-May-20,9-May-20,10 am to 5 pm,post for Pratap's birthday,C4,-,-,people paying respect to Pratap,407,113,0,0,0,0,138,,Aryan Singh,,2,,0,11
11-May-20,10-May-20,10 am to 5 pm,Post for an organization member's birthday,C4,-,-,people wishing him,186,43,0,0,3,0,33,,Aryan Singh,,0,,0,3
11-May-20,10-May-20,10 am to 5 pm,Post saying mothers day is christain conspiracy,C5,"S2,S4",-,people agreeing there is need for unity,156,32,0,0,3,0,29,,Aryan Singh,,4,,0,5
11-May-20,11-May-20,10 am to 5 pm,screenshot of video call with Praveen togadiya,C4,-,-,People praising him,362,78,0,0,3,0,88,,Aryan Singh,,0,,0,12
11-May-20,8-May-20,10 am to 5 pm,Post saying even Abhiyanyu had a role in Mahabharat and his death does not mean he was weak,C4,S4,-,comments agreeing,226,22,0,0,0,1,21,,Rajeev Brahmarshi,,0,,0,1
11-May-20,10-May-20,10 am to 5 pm,Post about a party member asking for forgiveness for some misconduct,C4,-,-,no comments,20,0,0,0,0,0,0,,Rajeev Brahmarshi,,0,,0,0
11-May-20,8-May-20,10 am to 5 pm,post of his own picture with metaphorical caption,C7,-,-,people praising him,220,28,0,0,0,0,26,,Rajeev Brahmarshi,,1,,0,3
11-May-20,9-May-20,10 am to 5 pm,post about demanding action against the person who violated Ambedkar's statue,C4,-,-,no comments,1,0,0,0,0,0,0,,Rajeev Brahmarshi,,0,,0,0
11-May-20,10-May-20,10 am to 5 pm,post about mother day,C4,-,-,people wishing him,375,65,0,0,0,52,92,,Rajeev Brahmarshi,,2,,0,5
11-May-20,8-May-20,10 am to 5 pm,Post about rajasthan rape case and calling people to unite,C3 ,S4,-,people praising him,11,1.5 k,16,22,12,40,4.7 k,,Updesh Rana,,2.4 k,121 k,0,52
11-May-20,9-May-20,10 am to 5 pm,Post for pratap's birthday,C4,S4,-,people paying respect to Pratap,18 k,1.2 k,16,0,38,1,1.4 k,,Updesh Rana,,299,,0,68
11-May-20,9-May-20,10 am to 5 pm,video tribute to Pratap,C3 ,-,-,people paying respect to Pratap,7.4 k,608,3,0,20,1,503,,Updesh Rana,,226,,0,28
11-May-20,10-May-20,10 am to 5 pm,video of a young migrant boy,C3 ,-,-,people blaming government,4.3 k,150,2,14,12,1.5 k,395,,Updesh Rana,,1.1 k,,0,42
11-May-20,8-May-20,10 am to 5 pm,video about death of migrant labour,C3 ,"S1,S2,S4,S5",-,"people blaming government, labours and muslims",697,27,0,1,0,82,96,,Ajeet Bharti,,168,123 k,0,0
11-May-20,9-May-20,10 am to 5 pm,video targeting left,C3 ,S2,-,people praising him,569,45,0,0,4,0,33,,Ajeet Bharti,,81,,0,2
11-May-20,9-May-20,10 am to 5 pm,Post about pratap,C4,-,-,people paying respect to Pratap,160,18,0,0,1,0,14,,Hindu Putra,,5,,0,0
11-May-20,10-May-20,10 am to 5 pm,Post saying rajeev brahmarshi will come live at 8,C4,-,-,people welcoming him,80,12,0,0,0,0,11,,Hindu Putra,,1,,0,0
11-May-20,10-May-20,10 am to 5 pm,live video about organization,C3 ,-,-,people writing jai ho,337,66,0,1,0,0,205,,Hindu Putra,,154,4.4 k,0,2
11-May-20,10-May-20,10 am to 5 pm,Post saying kashmiri pandits were thrown by their known people,C4,S5,-,no comments,1,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
11-May-20,11-May-20,10 am to 5 pm,post saying a jain restaurant owner was arrested by having no muslim staff and it was wrong,C4,S5,A2,no comments,4,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
11-May-20,11-May-20,10 am to 5 pm,Post saying a hindu boy was sacrificed in a mosque,C6,S1,A1,comment saying we beat up muslims in our village,8,0,0,7,0,3,2,,Hindu Putra - G,,30,,0,0
11-May-20,11-May-20,10 am to 5 pm,post asking people to boycott SRK's Tipu Sultan which is a fake moive,C4,S2,A2,people agreeing,7,0,0,6,0,0,7,,Hindu Putra - G,,1,,0,0
11-May-20,11-May-20,10 am to 5 pm,post saying nagesh samrat will be back,C4,-,- ,one comment saying yes,22,2,0,0,0,0,1,,Hindu Putra - G,,0,,0,0
11-May-20,11-May-20,10 am to 5 pm,Post asking people to say jai parshuram,C4,-,-,people writing jai parshuram,471,19,0,0,0,0,110,,Brahman Samaj Seva Samiti,,10,,0,4
11-May-20,11-May-20,10 am to 5 pm,post saying its a Brahmin group so jai parshuram will have to be said,C4,-,-,people saying jai parshuram,1.4 k,72,0,0,1,0,373,,Brahman Samaj Seva Samiti,,32,,0,10
11-May-20,11-May-20,10 am to 5 pm,post saying without brahman eople would have been illiterate,C4,S4,-,people agreeing,387,9,0,0,0,0,35,,Brahman Samaj Seva Samiti,,5,,0,3
,,,,,,,,,,,,,,,,,,,,,
12-May-20,11-May-20,10 am to 5 pm,an old video of modi which he has shared multiple times,C3 ,-,-,no comments,3,0,0,0,0,0,0,,Nitin Gupta,,1,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post degrading Islamic history,C5,"S1,S2,S4",-,one comment saying take a book from me,4,0,0,0,1,0,1,,Nitin Gupta,,1,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post in favour of Arnab Goswami against Sonia Gandhi,C5,S2,-,no comments,3,0,0,0,0,0,0,,Nitin Gupta,,1,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post saying fathers and brothers should make sure women are not on tik tok or they should send them to a brothel,C4,S1,A1,one comment saying i tried to make one understand but he did not,9,2,0,0,0,0,2,,Nitin Gupta,,0,,0,0
12-May-20,11-May-20,10 am to 5 pm,Post of a news clip about their protest against UP police beating up migrant labours in Haryana,C4,-,-,no comments,55,1,0,5,0,0,0,,Karni Sena,,1,,0,0
12-May-20,11-May-20,10 am to 5 pm,Post saying whoever is arrogant has destroyed himself,C4,-,-,people agreeing and writing jai shree ram,330,66,0,1,2,0,87,,Aryan Singh,,2,,0,3
12-May-20,12-May-20,10 am to 5 pm,Post wishing a colleague marriage anniversary,C4,-,-,people wishing him,233,56,0,0,1,0,57,,Aryan Singh,,1,,0,9
12-May-20,11-May-20,10 am to 5 pm,Post about social work,C4,-,-,one comment saying jai shree ram,31,2,0,0,0,0,1,,Rajeev Brahmarshi,,0,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post of religoius greeting,C4,-,-,people greeting back,101,16,0,0,0,0,22,,Rajeev Brahmarshi,,0,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post saying Hindu is degrading everyday and losing the culture,C5,S5,-,people agreeing,60,10,0,0,0,0,12,,Rajeev Brahmarshi,,2,,0,1
12-May-20,12-May-20,10 am to 5 pm,Picture of kid dressed as yogi with two kid dressed as bodygaurd with toy guns and hateful caption,C4,S4,A1,people writing jai shree ram,111,10,0,0,1,0,5,,Hindu Putra - G,,1,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post about alleged sacrifice of a Hindu Boy in mosque,C3 ,S1,"A1,A4",one comment asking for them to be hanged,3,0,0,0,0,0,1,,Hindu Putra - G,,4,,0,0
12-May-20,12-May-20,10 am to 5 pm,link to opindia article of attack on another saint in mathura,C6,-,-,no comments,15,0,0,3,0,3,0,,Hindu Putra - G,,4,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post about sacrifice of hindu boy ,C4,-,-,one comment saying even authorities are with muslims,10,0,0,0,0,0,1,,Hindu Putra - G,,4,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post talking about how to counter if they call you hindu right winger,C5,"S1,S5",-,no comments,0,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
12-May-20,12-May-20,10 am to 5 pm,post saying non Hindus should be banned around ayodhya,C4,S5,A3,no comments,6,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post saying BJP was never anti national unlike any other party,C4,"S1,S4",-,no comments,10,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
12-May-20,11-May-20,10 am to 5 pm,video about alleged sacrifice of hindu boy,C3 ,S1,"A1,A4",people demanding extreme action,868,10,0,191,1,176,99,,Ajeet Bharti,,1 k,515k,0,2
12-May-20,11-May-20,10 am to 5 pm,video about bad behavior with hindus in Amantollah khan's constituency,C3 ,"S1,S4",-,people saying he is traitor and blaming him,774,9,3,106,3,69,53,,Ajeet Bharti,,513,243 k,0,0
12-May-20,12-May-20,10 am to 5 pm,link to article of death of a saint in vrindavan,C6,S1,"A1,A4",people demanding extreme action,494,1,1,259,4,238,116,,Ajeet Bharti,,801,,0,1
12-May-20,12-May-20,10 am to 5 pm,Post of religious greeting ,C4,-,-,people greeting back,424,25,0,0,1,2,64,,Brahman Samaj Seva Samiti,,3,,0,0
12-May-20,12-May-20,10 am to 5 pm,Post saying all brahmans should support each other,C4,-,-,people agreeing,1.3 k,65,0,0,1,0,207,,Brahman Samaj Seva Samiti,,29,,0,4
12-May-20,11-May-20,10 am to 5 pm,Post for brahman unity,C4,-,-,people agreeing,457,9,0,0,0,0,42,,Brahman Samaj Seva Samiti,,11,,0,4
12-May-20,11-May-20,10 am to 5 pm,another post for unity,C4,-,-,people agr,315,7,0,0,1,0,23,,Brahman Samaj Seva Samiti,,4,,0,1
12-May-20,12-May-20,10 am to 5 pm,video claming of muslims attacking with petrol bombs in bengal,C3 ,S2?,A1,people saying time for action has come,313,1,1,101,1,76,91,,Updesh Rana,,278,,0,0
,,,,,,,,,,,,,,,,,,,,,
13-May-20,13-May-20,10 am to 5 pm,Post urging Hindus to wake up before it is too late ,C4,"S5,S4",-,no comments,8,1,0,0,0,1,0,,Nitin Gupta,,0,,0,0
13-May-20,12-May-20,10 am to 5 pm,Post saying there should be only one national level unified Hindu organization,C4,S5,-,people agreeing and writing jai shree ram,269,53,0,0,3,0,167,,Aryan Singh,,5,,0,17
13-May-20,12-May-20,10 am to 5 pm,Post about social work,C4,-,-,people praising it,143,5,0,0,0,0,9,,Karni Sena,,4,,0,0
13-May-20,13-May-20,10 am to 5 pm,Post about complaining against some policemen who used bad language for Pratap,C4,-,-,no comments,24,2,0,0,0,0,0,,Karni Sena,,0,,0,0
13-May-20,13-May-20,10 am to 5 pm,Post about news of new appointment of organization,C4,-,-,people congrulating,48,3,1,0,0,0,0,,Hindu Putra,,0,,0,1
13-May-20,13-May-20,10 am to 5 pm,Post about news of new appointment of organization,C4,-,-,people congrulating,54,9,0,0,0,0,5,,Hindu Putra,,1,,0,1
13-May-20,13-May-20,10 am to 5 pm,Post about news of new appointment of organization,C4,-,-,people congrulating,173,12,0,0,0,0,32,,Hindu Putra,,4,,0,0
13-May-20,13-May-20,10 am to 5 pm,post about mahabharat quote about need of war,C4,S4,A1,no comments,5,0,0,0,0,0,1,,Hindu Putra - G,,0,,0,0
13-May-20,13-May-20,10 am to 5 pm,post of young woman crying for her house was attacked,C3 ,-,-,one comment saying police needs to help,12,0,0,0,0,7,1,,Hindu Putra - G,,1,,0,18
13-May-20,13-May-20,10 am to 5 pm,post about bengal violence,C4,"S1,S5",-,one comment calling it wrong,14,2,0,8,0,2,1,,Hindu Putra - G,,6,,0,0
13-May-20,13-May-20,10 am to 5 pm,post about bengal violence,C4,S4,-,comments saying jai ho,12,2,0,0,0,0,2,,Hindu Putra - G,,5,,0,0
13-May-20,12-May-20,10 am to 5 pm,Post about unity of Brahman,C4,-,-,people agreeing,800,42,1,0,0,0,80,,Brahman Samaj Seva Samiti,,12,,0,5
13-May-20,12-May-20,10 am to 5 pm,"warning that sadhus are killed, if they might be revenge",C4,S1,A1,people agreeing,980,43,0,0,0,2,38,,Brahman Samaj Seva Samiti,,45,,0,5
13-May-20,13-May-20,10 am to 5 pm,post about some incident in Kanpur in which some brahman got injured,C4,-,-,people calling it unfortunate,1.7 k,13,0,165,3,109,365,,Brahman Samaj Seva Samiti,,165,,0,3
13-May-20,12-May-20,10 am to 5 pm,Live video attacking Ravish Kumar,C4,"S3,S4",-,people praising him,1 k,94,41,0,1,1,79,,Ajeet Bharti,,259,89 k,0,3
13-May-20,13-May-20,10 am to 5 pm,link to article in support of modi press conference,C6,"S3,S4",-,people praising him,231,6,2,0,0,0,6,,Ajeet Bharti,,33,,0,0
13-May-20,12-May-20,10 am to 5 pm,Post about bengal violence,C4,"S1,S5","A1,A4",people saying time for action has come,6.5 k,36,10,1.4 k,14,991,1.1 k,,Updesh Rana,,3.9 k,,0,9
13-May-20,12-May-20,10 am to 5 pm,"Post saying use home made and force foreigners to run awar, reference to Modi speech",C4,"S1,S4",A2,people saying yes we should boycot chinese and congress,10 k,537,13,0,17,1,539,,Updesh Rana,,565,,0,42
13-May-20,12-May-20,10 am to 5 pm,Post glorifying modi and taking a dig on pakistan,C4,"S1,S4,S3",-,people making fun of pakistan and glorifying modi,7.6 k,135,2.8 k,0,17,1,520,,Updesh Rana,,576,,0,18
13-May-20,13-May-20,10 am to 5 pm,live video about a girl marrying a muslims,C3 ,S1,-,people saying there is no need to foucs on such girls,5.1 k,505,13,168,11,465,2.3 k,,Updesh Rana,,1.6 k,51 k,0,21
13-May-20,13-May-20,10 am to 5 pm,Post about bengal violence,C3 ,S1,"A1,A4",people saying time for action has come,4 k,17,6,915,11,669,651,,Updesh Rana,,3.3 k,,0,6
,,,,,,,,,,,,,,,,,,,,,
14-May-20,13-May-20,10 am to 5 pm,Video of Pushpendra Kulshreshtha glorfying Modi,C3 ,"S2,S4",-,no comments,0,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
14-May-20,14-May-20,10 am to 5 pm,Video of starting Yagna to eradicate Corona,C3 ,-,-,people giving religious greeting,467,16,0,0,0,0,29,,Karni Sena,,39,,0,0
14-May-20,14-May-20,10 am to 5 pm,Post about haryana minister coming to pay tribute on Karni Sena's Chief's brother's death anniversary,C4,-,-,people paying respect,107,6,0,0,1,1,10,,Karni Sena,,6,,0,0
14-May-20,13-May-20,10 am to 5 pm,Video outside hospital showing lack of services in Bihar,C3 ,-,-,people criticising Nitish Kumar,330,60,0,2,0,31,149,,Aryan Singh,,51,1.6 k,0,4
14-May-20,13-May-20,10 am to 5 pm,Post urging people to follow hindu Putra page so it does not get blocked,C4,-,-,"people commenting Hindu Putra, one of them calling it government conspiracy",45,3,0,1,0,9,47,,Rajeev Brahmarshi,,1,,0,0
14-May-20,14-May-20,10 am to 5 pm,Post of religious greeting ,C4,-,-,people greeting back,86,11,0,0,0,0,11,,Rajeev Brahmarshi,,0,,0,0
14-May-20,14-May-20,10 am to 5 pm,Pozt paying tribute to a freedom fighter,C4,-,-,people paying respect,43,3,0,0,0,2,8,,Rajeev Brahmarshi,,0,,0,0
14-May-20,13-May-20,10 am to 5 pm,Post urging people to follow hindu Putra page so it does not get blocked,C4,-,-,people commentingHindu Putra,76,7,0,0,0,6,788,,Hindu Putra,,6,,0,2
14-May-20,14-May-20,10 am to 5 pm,Post about news of new appointment of organization,C4,-,-,people congrulating,95,8,0,0,0,0,18,,Hindu Putra,,1,,0,0
14-May-20,14-May-20,10 am to 5 pm,Post about news of new appointment of organization,C4,-,-,people congrulating,63,10,0,0,0,0,12,,Hindu Putra,,5,,0,0
14-May-20,14-May-20,10 am to 5 pm,Post saying castism is the worst enemy of Hinduism,C4,-,-,one comment of jai shree ram,21,1,0,0,0,0,1,,Hindu Putra - G,,0,,0,0
14-May-20,14-May-20,10 am to 5 pm,Post saying even muslim shopkeepers use Hindu references in India,C4,S4,-,people writing jai shree ram,24,3,0,0,0,0,2,,Hindu Putra - G,,0,,0,0
14-May-20,14-May-20,10 am to 5 pm,video of a women asking for help who had converted to Islam,C3 ,"S1,S5",-,people abusing her and saying she does not deserve help,5,0,0,1,0,0,2,,Hindu Putra - G,,0,,0,0
14-May-20,14-May-20,10 am to 5 pm,Post urging people to buy Swadesi,C4,-,-,no comments,2,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
14-May-20,13-May-20,10 am to 5 pm,Post about bengal violence claiming Hindus are in danger,C3 ,S2,-,no comments,4,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
14-May-20,14-May-20,10 am to 5 pm,Post saying Brahmans should marry only Brahmans,C4,S4,A3,people agreeing and writing jai shree ram,277,4,2,0,0,0,17,,Brahman Samaj Seva Samiti,,1,,0,0
14-May-20,14-May-20,10 am to 5 pm,Post glorifying Brahmans,C4,S4,-,people praising it,737,38,4,0,1,0,107,,Brahman Samaj Seva Samiti,,137,,0,6
14-May-20,14-May-20,10 am to 5 pm,Post glorifying Brahmans with warning to others,C4,S4,-,people praising it but one guy saying we should be Hindu first,562,18,0,0,0,0,38,,Brahman Samaj Seva Samiti,,10,,0,3
14-May-20,13-May-20,10 am to 5 pm,Post asking if there should be a movement against the increasing violence against brahmans,C4,S5,-,people agreeing,863,21,0,3,0,1,171,,Brahman Samaj Seva Samiti,,25,,0,2
14-May-20,14-May-20,10 am to 5 pm,Post saying Brahmans should follow proper culture,C4,S4,-,people agreeing,421,11,0,0,0,0,36,,Brahman Samaj Seva Samiti,,10,,0,1
14-May-20,14-May-20,10 am to 5 pm,Post saying all brahmans are each other's ally,C4,-,-,people agreeing and writing jai shree ram,87,1,0,0,0,0,15,,Brahman Samaj Seva Samiti,,2,,0,0
14-May-20,13-May-20,10 am to 5 pm,link to article on alleged sacrifice issue in Bihar,C6,S4,-,people saying only Yogi can give justice to hindus,798,45,0,12,1,36,27,,Ajeet Bharti,,214,,0,2
14-May-20,13-May-20,10 am to 5 pm,link to article about Modi's economic plan for COVID,C6,-,-,no comments,176,4,0,0,0,0,0,,Ajeet Bharti,,20,,0,1
14-May-20,13-May-20,10 am to 5 pm,Post saying hindu temples are being targeted in bengal so once lockdown is over he will go to bengal and will see who can throw stones,C4,"S4,S1","A1,A4",people saying time for action has come,11 k,556,12,19,32,103,1 k,,Updesh Rana,,609,,0,45
14-May-20,14-May-20,10 am to 5 pm,Post saying some random guy from pakistan was giving him a call trying to scare,C4,"S4,S1",A1,people saying we will show them what we can do,4.2 k,162,1.2 k,32,17,3,482,,Updesh Rana,,148,,0,15
,,,,,,,,,,,,,,,,,,,,,
15-May-20,14-May-20,10 am to 5 pm,Video of a couple found kissing inside a temple,C3 ,S1,-,no comments,2,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
15-May-20,14-May-20,10 am to 5 pm,Post against a women sadhu who is talking about secularism and normalizing alcohol use,C3 ,S1,A3,comment saying they should be boycotted,16,0,0,4,0,1,5,,Nitin Gupta,,4,,0,0
15-May-20,14-May-20,10 am to 5 pm,Post against a sadhu for using terms like ali maula in bhajan,C3 ,S1,A1,people saying what is this joke ,5,0,0,0,0,0,6,,Nitin Gupta,,0,,0,0
15-May-20,15-May-20,10 am to 5 pm,Post calling the death of VHP lawyer of Palghar lynching a conspiracy,C6,-,-,no comments,3,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
15-May-20,15-May-20,10 am to 5 pm,Post saying how current education system is favourable to Muslims,C5,"S2,S1",-,no comments,5,0,0,0,0,0,0,,Nitin Gupta,,1,,0,0
15-May-20,15-May-20,10 am to 5 pm,Post glorifying Hinduism in direct comparison to Islam,C5,"S2,S4",-,no comments,1,0,0,0,0,0,0,,Nitin Gupta,,0,,0,0
15-May-20,15-May-20,10 am to 5 pm,Post respecting Haryana BJP minister Anil Vij,C4,-,-,people praising it,357,18,0,0,0,0,13,,Karni Sena,,12,,0,1
15-May-20,14-May-20,10 am to 5 pm,Post about new appointment to the organization,C4,-,-,people congrulating him,427,99,0,0,2,1,113,,Aryan Singh,,2,,0,10
15-May-20,14-May-20,10 am to 5 pm,Post refering to mahabharat and saying killing is necessary,C4,S4,A1,people praising it,180,42,0,0,3,0,43,,Aryan Singh,,3,,0,4
15-May-20,14-May-20,10 am to 5 pm,Post saying one cannot believe in both Ram and ravan at same time,C4,S5,-,people asking who is believing in both,77,7,0,0,0,2,10,,Rajeev Brahmarshi,,0,,0,0
15-May-20,15-May-20,10 am to 5 pm,post of religous greeting,C4,-,-,people greeting back,80,16,0,0,0,0,17,,Rajeev Brahmarshi,,0,,0,0
15-May-20,15-May-20,10 am to 5 pm,tribute to a known person who has passed away,C4,-,-,people paying respect,159,9,0,0,0,32,22,,Rajeev Brahmarshi,,3,,0,1
15-May-20,15-May-20,10 am to 5 pm,video showing police corruption in Bihar,C3 ,-,-,no comments,6,0,0,0,0,0,0,,Rajeev Brahmarshi,,0,,0,0
15-May-20,15-May-20,10 am to 5 pm,Post glorifying Hinduism,C4,S4,-,no comments,3,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
15-May-20,15-May-20,10 am to 5 pm,Post saying hindus need to unite rising above castism,C4,-,-,no comments,3,0,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
15-May-20,15-May-20,10 am to 5 pm,Picture of India goddess,C4,-,-,no comments,8,4,0,0,0,0,0,,Hindu Putra - G,,0,,0,0
15-May-20,15-May-20,10 am to 5 pm,Post about tonk rape case,C4,"S1,S2,S5",A4,people demanding death,42,2,0,2,0,8,14,,Hindu Putra - G,,1,,0,0
15-May-20,15-May-20,10 am to 5 pm,tik tok edit of Nagesh Samrat pictures saying he will be back,C6,-,-,one comment with clap emoji,44,3,0,0,0,0,1,,Hindu Putra - G,,2,,0,1
15-May-20,15-May-20,10 am to 5 pm,"Post saying if talking about brahmanism makes him castist, he would rather be castist",C4,-,-,people praising him,1 k,37,0,0,1,1,128,,Brahman Samaj Seva Samiti,,24,,0,2
15-May-20,15-May-20,10 am to 5 pm,Post against reservationrefering to Modi's speech,C4,-,-,people agreeing,54,3,0,0,0,0,12,,Brahman Samaj Seva Samiti,,3,,0,0
15-May-20,15-May-20,10 am to 5 pm,Post about a suicide of brahman boy because of alleged dalit bullying,C4,-,A1,people saying they should have been killed,134,1,0,38,0,24,31,,Brahman Samaj Seva Samiti,,30,,0,0
15-May-20,15-May-20,10 am to 5 pm,Post asking people to say jai parshuram,C4,-,-,people saying jai parshuram,808,39,0,0,2,0,111,,Brahman Samaj Seva Samiti,,10,,0,2
15-May-20,15-May-20,10 am to 5 pm,Random geeta quote,C4,--,-,people saying jai shir krishna,58,2,0,0,0,0,2,,Brahman Samaj Seva Samiti,,5,,0,0
15-May-20,14-May-20,10 am to 5 pm,live video targetting munnavar rana,C3 ,"S1,S3",-,people praising him and saying these people are problem,1.1 k,95,276,7,4,3,138,,Ajeet Bharti,,413,151 k,0,3
15-May-20,15-May-20,10 am to 5 pm,link to article about alleged sacrifice of hindu voy,C6,-,A4,people asking for death punishment,311,0,0,22,0,27,12,,Ajeet Bharti,,61,,0,0
15-May-20,14-May-20,10 am to 5 pm,Post with his picture talking about some past false allegations of murder on him,C7,-,-,people praising him and saying these people are problem,12 k,768,8,1,13,3,1.5 k,,Updesh Rana,,202,,0,77
15-May-20,14-May-20,10 am to 5 pm,"Post saying if Indian army has recruitment, he will be the first to join",C4,-,-,people saying they will joi with him,13 k,878,6,0,20,2,977,,Updesh Rana,,213,,0,57
